Type,Row,Column,Width,Channel_Width
10,7,37,0,3
12,6,37,2,3
3,5,37,3,3
28,4,37,3,3
19,3,37,4,3
27,2,37,2,3
-1,0,37,-1,3
30,7,38,0,4
15,6,38,0,4
5,5,38,0,4
43,4,38,3,4
35,3,38,0,4
-1,0,38,-1,4
9,2,38,4,4
10,7,1,0,2
22,6,1,2,2
26,5,1,1,2
7,4,1,2,2
-1,0,1,-1,2
30,7,15,0,1
25,6,15,0,1
40,5,15,0,1
1,4,15,1,1
10,3,15,0,1
-1,0,15,-1,1
12,3,1,2,2
22,2,1,2,2
31,2,15,1,1
24,7,13,4,4
14,6,13,4,4
13,5,13,3,4
4,4,13,4,4
-1,0,13,-1,4
32,3,13,2,4
21,7,6,1,2
35,6,6,0,2
6,5,6,1,2
17,4,6,2,2
25,3,6,0,2
-1,0,6,-1,2
-1,1,6,-1,2
37,2,13,2,4
37,2,6,2,2
24,7,23,4,4
14,6,23,4,4
9,5,23,4,4
49,4,23,4,4
48,3,23,3,4
-1,0,23,-1,4
40,2,23,0,4
15,7,43,0,4
2,6,43,2,4
33,5,43,3,4
39,4,43,4,4
44,3,43,4,4
39,2,43,4,4
-1,0,43,-1,4
50,7,16,0,2
47,6,16,2,2
32,5,16,2,2
15,4,16,0,2
2,3,16,2,2
42,2,16,2,2
-1,0,16,-1,2
-1,1,16,-1,2
10,7,45,0,1
21,6,45,1,1
41,5,45,1,1
20,4,45,0,1
11,3,45,1,1
-1,0,45,-1,1
-1,1,45,-1,1
44,1,38,4,4
12,7,26,2,2
26,6,26,1,2
7,5,26,2,2
17,4,26,2,2
12,3,26,2,2
-1,0,26,-1,2
-1,1,26,-1,2
14,7,4,4,5
28,6,4,3,5
29,5,4,4,5
34,4,4,4,5
43,3,4,3,5
-1,0,4,-1,5
45,2,26,0,2
45,2,45,0,1
45,2,4,0,5
3,7,28,3,4
3,6,28,3,4
16,5,28,1,4
24,4,28,4,4
37,3,28,2,4
-1,0,28,-1,4
23,7,14,3,5
34,6,14,4,5
36,5,14,1,5
14,4,14,4,5
41,3,14,1,5
-1,0,14,-1,5
2,2,28,2,4
2,1,37,2,3
2,2,14,2,5
28,7,42,3,3
13,6,42,3,3
7,5,42,2,3
43,4,42,3,3
8,3,42,3,3
-1,0,42,-1,3
19,7,29,4,5
29,6,29,4,5
9,5,29,4,5
39,4,29,4,5
29,3,29,4,5
-1,0,29,-1,5
4,2,29,4,5
50,7,35,0,1
1,6,35,1,1
40,5,35,0,1
31,4,35,1,1
1,3,35,1,1
42,2,35,2,1
-1,0,35,-1,1
-1,1,35,-1,1
6,2,42,1,3
8,7,24,3,5
42,6,24,2,5
44,5,24,4,5
49,4,24,4,5
18,3,24,3,5
29,2,24,4,5
-1,0,24,-1,5
-1,1,24,-1,5
1,7,46,1,2
26,6,46,1,2
41,5,46,1,2
16,4,46,1,2
7,3,46,2,2
-1,0,46,-1,2
-1,1,46,-1,2
10,2,46,0,2
21,7,25,1,1
42,6,25,2,1
31,5,25,1,1
26,4,25,1,1
16,3,25,1,1
-1,0,25,-1,1
-1,1,25,-1,1
15,1,1,0,2
15,2,25,0,1
49,7,3,4,4
34,6,3,4,4
5,5,3,0,4
8,4,3,3,4
7,3,3,2,4
-1,0,3,-1,4
-1,1,3,-1,4
5,1,15,0,1
46,7,21,1,2
36,6,21,1,2
3,5,21,3,2
41,4,21,1,2
5,3,21,0,2
-1,0,21,-1,2
-1,1,21,-1,2
5,2,3,0,4
3,7,48,3,4
27,6,48,2,4
6,5,48,1,4
3,4,48,3,4
29,3,48,4,4
-1,0,48,-1,4
-1,1,48,-1,4
6,7,5,1,1
20,6,5,0,1
31,5,5,1,1
21,4,5,1,1
41,3,5,1,1
46,2,5,1,1
-1,0,5,-1,1
-1,1,5,-1,1
48,7,12,3,3
47,6,12,2,3
36,5,12,1,3
33,4,12,3,3
42,3,12,2,3
-1,0,12,-1,3
