Type,Row,Column,Width,Channel_Width
1,7,2,1,2
1,7,3,1,3
1,7,4,1,4
2,7,3,2,3
5,7,6,0,1
5,7,7,0,2
5,7,7,0,2
7,6,2,2,2
7,6,3,2,3
7,6,4,2,4
8,6,3,3,3
11,6,6,1,1
11,6,7,1,2
11,6,7,1,2
13,5,3,3,3
13,5,4,3,4
15,5,2,0,2
16,5,3,1,3
17,5,7,2,2
17,5,7,2,2
19,4,4,4,4
20,5,6,0,1
21,4,2,1,2
21,4,3,1,3
22,4,3,2,3
22,4,7,2,2
24,3,4,4,4
25,4,6,0,1
25,4,7,0,2
26,3,2,1,2
27,3,3,2,3
27,3,3,2,3
30,2,4,0,4
30,3,6,0,1
31,3,7,1,2
31,3,7,1,2
32,2,2,2,2
32,2,3,2,3
33,2,3,3,3
36,2,6,1,1
36,2,7,1,2
36,2,7,1,2
38,1,3,3,3
38,1,4,3,4
40,1,2,0,2
41,1,3,1,3
42,1,6,2,1
42,1,7,2,2
42,1,7,2,2
44,0,4,4,4
46,0,2,1,2
46,0,3,1,3
46,0,3,1,3
47,0,7,2,2
48,0,7,3,2
50,0,6,0,1
2,7,5,2,5
8,6,5,3,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
1,7,2,1,2
7,6,2,2,2
15,5,2,0,2
26,4,2,1,2
32,3,2,2,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
49,5,5,4,5
49,4,5,4,5
49,3,5,4,5
2,7,6,2,1
10,6,6,0,1
21,5,6,1,1
27,4,6,2,1
-1,2,6,-1,1
-1,0,6,-1,1
-1,1,6,-1,1
2,7,8,2,3
8,6,8,3,3
14,5,8,4,3
21,4,8,1,3
27,3,8,2,3
33,2,8,3,3
-1,0,8,-1,3
-1,1,8,-1,3
5,7,7,0,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
6,7,1,1,1
25,6,1,0,1
-1,2,1,-1,1
-1,0,1,-1,1
-1,1,1,-1,1
-1,2,2,-1,2
