TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
   1 startMotion   A5       -1   60    5
   1 startMotion   A3       -1    2    3
   1 startMotion   A4       -1    3    4
   1 startMotion   A6       -1  120    6
   1 startMotion   A2       -1    1    2
   1 startMotion   A1       -1    0    1
   2 endMotion     B1       -1    0    1
   3 startMotion   B1       -1    0    1
   5 endMotion     A5       -1  120    6
   5 endMotion     A3       -1    3    4
   5 endMotion     A1       -1    1    2
   5 endMotion     A2       -1    2    3
   5 endMotion     A4       -1   60    5
   6 startMotion   A4       -1   60    5
   6 startMotion   A1       -1    1    2
   6 startMotion   A2       -1    2    3
   6 startMotion   A3       -1    3    4
   6 startMotion   A5       -1  120    6
   7 endMotion     B2       -1    0    1
   7 endMotion     B1       -1    1    2
   8 startMotion   B1       -1    1    2
   8 startMotion   B2       -1    0    1
  10 endMotion     A3       -1   60    5
  10 endMotion     A4       -1  120    6
  10 endMotion     A2       -1    3    4
  10 endMotion     A1       -1    2    3
  11 startMotion   A4       -1  120    6
  11 startMotion   A2       -1    3    4
  11 startMotion   A1       -1    2    3
  11 startMotion   A3       -1   60    5
  12 endMotion     B2       -1    1    2
  12 endMotion     B3       -1    0    1
  12 endMotion     B1       -1    2    3
  13 startMotion   B2       -1    1    2
  13 startMotion   B1       -1    2    3
  13 startMotion   B3       -1    0    1
  15 endMotion     A1       -1    3    4
  15 endMotion     A2       -1   60    5
  15 endMotion     A3       -1  120    6
  16 startMotion   A1       -1    3    4
  16 startMotion   A3       -1  120    6
  16 startMotion   A2       -1   60    5
  17 endMotion     B3       -1    1    2
  17 endMotion     B2       -1    2    3
  17 endMotion     B1       -1    3    4
  17 endMotion     B4       -1    0    1
  18 startMotion   B3       -1    1    2
  18 startMotion   B1       -1    3    4
  18 startMotion   B2       -1    2    3
  18 startMotion   B4       -1    0    1
  20 endMotion     A2       -1  120    6
  20 endMotion     A1       -1   60    5
  21 startMotion   A2       -1  120    6
  21 startMotion   A1       -1   60    5
  22 endMotion     B4       -1    1    2
  22 endMotion     B5       -1    0    1
  22 endMotion     B1       -1   60    5
  22 endMotion     B3       -1    2    3
  22 endMotion     B2       -1    3    4
  23 startMotion   B3       -1    2    3
  23 startMotion   B2       -1    3    4
  23 startMotion   B5       -1    0    1
  23 startMotion   B1       -1   60    5
  23 startMotion   B4       -1    1    2
  25 endMotion     A1       -1  120    6
  26 startMotion   A1       -1  120    6
  27 endMotion     B2       -1   60    5
  27 endMotion     B3       -1    3    4
  27 endMotion     B5       -1    1    2
  27 endMotion     B1       -1  120    6
  27 endMotion     B6       -1    0    1
  27 endMotion     B4       -1    2    3
  28 startMotion   B6       -1    0    1
  28 startMotion   B5       -1    1    2
  28 startMotion   B4       -1    2    3
  28 startMotion   B1       -1  120    6
  28 startMotion   B2       -1   60    5
  28 startMotion   B3       -1    3    4
  32 endMotion     B2       -1  120    6
  32 endMotion     B4       -1    3    4
  32 endMotion     B5       -1    2    3
  32 endMotion     B7       -1    0    1
  32 endMotion     B3       -1   60    5
  32 endMotion     B6       -1    1    2
  33 startMotion   B4       -1    3    4
  33 startMotion   B7       -1    0    1
  33 startMotion   B2       -1  120    6
