 RecId   Time             Action              PalletID PalletTypeID
     1      1   StartDepalletize                     1            1 CNT8
     2    202  finishDepalletize                     1            1
     3    203   StartDepalletize                     2            2 CNT8
     4    332  finishDepalletize                     2            2
     5    333   StartDepalletize                     3            3 CNT8
     6    466  finishDepalletize                     3            3
     7    467   StartDepalletize                     4            4 CNT8
     8    603  finishDepalletize                     4            4
     9    604   StartDepalletize                     5            5 CNT8
    10    731  finishDepalletize                     5            5
    11    732   StartDepalletize                     6            6 CNT8
    12    850  finishDepalletize                     6            6
    13    851   StartDepalletize                     7            7 CNT8
    14    984  finishDepalletize                     7            7
    15    985   StartDepalletize                     8            8 CNT8
    16   1108  finishDepalletize                     8            8
    17   1109   StartDepalletize                     9            9 CNT8
    18   1233  finishDepalletize                     9            9
    19   1234   StartDepalletize                    10           10 CNT8
    20   1373  finishDepalletize                    10           10
    21   1374   StartDepalletize                    11           11 CNT8
    22   1506  finishDepalletize                    11           11
    23   1507   StartDepalletize                    12           12 CNT8
    24   1652  finishDepalletize                    12           12
    25   1653   StartDepalletize                    13           13 CNT8
    26   1747  finishDepalletize                    13           13
    27   1748   StartDepalletize                    14           14 CNT8
    28   1871  finishDepalletize                    14           14
    29   1872   StartDepalletize                    15           15 CNT8
    30   1978  finishDepalletize                    15           15
    31   1979   StartDepalletize                    16           16 CNT8
    32   2130  finishDepalletize                    16           16
    33   2131   StartDepalletize                    17           17 CNT8
    34   2240  finishDepalletize                    17           17
    35   2241   StartDepalletize                    18           18 CNT8
    36   2371  finishDepalletize                    18           18
    37   2372   StartDepalletize                    19           19 CNT8
    38   2500  finishDepalletize                    19           19
    39   2501   StartDepalletize                    20           20 CNT8
    40   2622  finishDepalletize                    20           20
    41   2623   StartDepalletize                    21           21 CNT8
    42   2727  finishDepalletize                    21           21
    43   2728   StartDepalletize                    22           22 CNT8
    44   2849  finishDepalletize                    22           22
    45   2850   StartDepalletize                    23           23 CNT8
    46   2988  finishDepalletize                    23           23
    47   2989   StartDepalletize                    24           24 CNT8
    48   3110  finishDepalletize                    24           24
    49   3111   StartDepalletize                    25           25 CNT8
    50   3256  finishDepalletize                    25           25
    51   3257   StartDepalletize                    26           26 CNT8
    52   3366  finishDepalletize                    26           26
    53   3367   StartDepalletize                    27           27 CNT8
    54   3497  finishDepalletize                    27           27
    55   3498   StartDepalletize                    28           28 CNT8
    56   3657  finishDepalletize                    28           28
    57   3658   StartDepalletize                    29           29 CNT8
    58   3764  finishDepalletize                    29           29
    59   3765   StartDepalletize                    30           30 CNT8
    60   3914  finishDepalletize                    30           30
    61   3915   StartDepalletize                    31           31 CNT8
    62   4054  finishDepalletize                    31           31
    63   4055   StartDepalletize                    32           32 CNT8
    64   4176  finishDepalletize                    32           32
    65   4177   StartDepalletize                    33           33 CNT8
    66   4302  finishDepalletize                    33           33
    67   4303   StartDepalletize                    34           34 CNT8
    68   4411  finishDepalletize                    34           34
    69   4412   StartDepalletize                    35           35 CNT8
    70   4536  finishDepalletize                    35           35
    71   4537   StartDepalletize                    36           36 CNT8
    72   4688  finishDepalletize                    36           36
    73   4689   StartDepalletize                    37           37 CNT8
    74   4814  finishDepalletize                    37           37
    75   4815   StartDepalletize                    38           38 CNT8
    76   4910  finishDepalletize                    38           38
    77   4911   StartDepalletize                    39           39 CNT8
    78   5062  finishDepalletize                    39           39
    79   5063   StartDepalletize                    40           40 CNT8
    80   5181  finishDepalletize                    40           40
    81   5182   StartDepalletize                    41           41 CNT8
    82   5306  finishDepalletize                    41           41
    83   5307   StartDepalletize                    42           42 CNT8
    84   5435  finishDepalletize                    42           42
    85   5436   StartDepalletize                    43           43 CNT8
    86   5557  finishDepalletize                    43           43
    87   5558   StartDepalletize                    44           44 CNT8
    88   5692  finishDepalletize                    44           44
    89   5693   StartDepalletize                    45           45 CNT8
    90   5832  finishDepalletize                    45           45
    91   5833   StartDepalletize                    46           46 CNT8
    92   5945  finishDepalletize                    46           46
    93   5946   StartDepalletize                    47           47 CNT8
    94   6091  finishDepalletize                    47           47
    95   6092   StartDepalletize                    48           48 CNT8
    96   6243  finishDepalletize                    48           48
    97   6244   StartDepalletize                    49           49 CNT8
    98   6293     startPalletize   1111141001011149554
           #1
    99   6313  finishDepalletize                    49           49
   100   6314   StartDepalletize                    50           49 CNT4
   101   6346   StartDepalletize                    50           49 CNT4
   102   6370   StartDepalletize                    50           49 CNT4
   103   6381   StartDepalletize                    50           49 CNT4
   104   6402   StartDepalletize                    50           50 CNT8
   105   6637  finishDepalletize                    50           50
   106   7422   StartDepalletize                    51           49 CNT4
   107   7481    finishPalletize  1111141001011149554
           #1
   108   7481     startPalletize 111114100101114954951
           #1
   109   7767  finishDepalletize                    51           49
   110   8463    finishPalletize 111114100101114954951
           #1
   111   8463     startPalletize 111114100101114954950
           #1
   112   8508   StartDepalletize                    52            1 CNT4
   113   8710  finishDepalletize                    52            1
   114   8768   StartDepalletize                    53            6 CNT4
   115   9002  finishDepalletize                    53            6
   116   9003   StartDepalletize                    54            3 CNT4
   117   9124  finishDepalletize                    54            3
   118   9125   StartDepalletize                    55           15 CNT4
   119   9316  finishDepalletize                    55           15
   120   9368   StartDepalletize                    56           26 CNT4
   121   9604  finishDepalletize                    56           26
   122   9605   StartDepalletize                    57           33 CNT4
   123   9762  finishDepalletize                    57           33
   124   9853    finishPalletize 111114100101114954950
           #1
   125   9853     startPalletize   1111141001011149555
           #1
   126   9856   StartDepalletize                    58           27 CNT4
   127  10092  finishDepalletize                    58           27
   128  10093   StartDepalletize                    59            1 CNT4
   129  10296  finishDepalletize                    59            1
   130  10297   StartDepalletize                    60            2 CNT4
   131  10416  finishDepalletize                    60            2
   132  10417   StartDepalletize                    61            3 CNT7
   133  10588  finishDepalletize                    61            3
   134  10589   StartDepalletize                    62            4 CNT5
   135  10737  finishDepalletize                    62            4
   136  10738   StartDepalletize                    63            5 CNT4
   137  10864  finishDepalletize                    63            5
   138  10865   StartDepalletize                    64            7 CNT4
   139  11027  finishDepalletize                    64            7
   140  11028   StartDepalletize                    65            8 CNT4
   141  11191  finishDepalletize                    65            8
   142  11192   StartDepalletize                    66            9 CNT4
   143  11334  finishDepalletize                    66            9
   144  11335   StartDepalletize                    67           10 CNT4
   145  11483  finishDepalletize                    67           10
   146  11484   StartDepalletize                    68           11 CNT4
   147  11605  finishDepalletize                    68           11
   148  11606   StartDepalletize                    69           12 CNT4
   149  11775    finishPalletize  1111141001011149555
           #1
