Type,Row,Column,Width,Channel_Width
1,7,3,1,3
1,7,4,1,4
2,7,10,2,5
5,7,2,0,2
5,7,6,0,1
5,7,6,0,1
5,7,7,0,2
5,7,7,0,2
5,7,8,0,3
7,6,3,2,3
7,6,4,2,4
8,6,10,3,5
11,6,2,1,2
11,6,6,1,1
11,6,7,1,2
11,6,6,1,1
11,6,7,1,2
11,6,8,1,3
13,5,3,3,3
13,5,4,3,4
14,5,10,4,5
17,5,2,2,2
17,5,7,2,2
17,5,7,2,2
17,5,8,2,3
19,4,4,4,4
19,4,10,4,5
20,5,6,0,1
20,5,6,0,1
21,4,3,1,3
22,4,2,2,2
22,4,7,2,2
23,4,8,3,3
24,3,4,4,4
25,4,6,0,1
25,4,6,0,1
25,4,7,0,2
27,3,3,2,3
27,3,10,2,5
28,3,8,3,3
30,2,4,0,4
30,3,2,0,2
31,3,6,1,1
31,3,7,1,2
31,3,6,1,1
31,3,7,1,2
32,2,3,2,3
33,2,10,3,5
36,2,2,1,2
36,2,6,1,1
36,2,7,1,2
36,2,6,1,1
36,2,7,1,2
36,2,8,1,3
38,1,3,3,3
38,1,4,3,4
39,1,10,4,5
41,1,2,1,2
42,1,6,2,1
42,1,7,2,2
42,1,7,2,2
42,1,8,2,3
44,0,3,4,3
44,0,4,4,4
44,0,10,4,5
45,1,6,0,1
47,0,2,2,2
47,0,7,2,2
48,0,7,3,2
48,0,8,3,3
50,0,6,0,1
50,0,6,0,1
-1,3,1,-1,1
-1,2,1,-1,1
-1,0,1,-1,1
-1,1,1,-1,1
2,7,2,2,2
10,6,2,0,2
16,5,2,1,2
27,4,2,2,2
35,3,2,0,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
1,7,2,1,2
7,6,2,2,2
15,5,2,0,2
-1,3,2,-1,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
2,7,3,2,3
8,6,3,3,3
13,5,3,3,3
21,4,3,1,3
27,3,3,2,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
2,7,3,2,3
8,6,3,3,3
16,5,3,1,3
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
4,7,9,4,4
10,6,9,0,4
18,5,9,3,4
-1,3,9,-1,4
-1,2,9,-1,4
-1,0,9,-1,4
-1,1,9,-1,4
5,7,7,0,2
-1,3,7,-1,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
2,7,6,2,1
10,6,6,0,1
-1,3,6,-1,1
-1,2,6,-1,1
-1,0,6,-1,1
-1,1,6,-1,1
6,7,2,1,2
-1,3,2,-1,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
-1,3,2,-1,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
1,7,8,1,3
7,6,8,2,3
13,5,8,3,3
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
-1,3,1,-1,1
-1,2,1,-1,1
-1,0,1,-1,1
-1,1,1,-1,1
4,7,9,4,4
49,6,9,4,4
-1,3,9,-1,4
-1,2,9,-1,4
-1,0,9,-1,4
-1,1,9,-1,4
6,7,7,1,2
-1,3,7,-1,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
2,7,8,2,3
8,6,8,3,3
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
-1,3,2,-1,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
2,7,8,2,3
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
4,7,9,4,4
9,6,9,4,4
23,5,9,3,4
29,4,9,4,4
34,3,9,4,4
-1,2,9,-1,4
-1,0,9,-1,4
-1,1,9,-1,4
3,7,4,3,4
3,7,3,3,3
3,6,4,3,4
3,6,3,3,3
3,6,8,3,3
-1,3,7,-1,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
-1,3,1,-1,1
-1,2,1,-1,1
-1,0,1,-1,1
-1,1,1,-1,1
9,5,9,4,4
9,5,4,4,4
-1,3,7,-1,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
9,4,9,4,4
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
1,7,2,1,2
1,7,1,1,1
1,7,2,1,2
1,7,1,1,1
1,7,1,1,1
1,7,3,1,3
1,7,7,1,2
1,7,7,1,2
1,6,7,1,2
1,6,1,1,1
1,6,2,1,2
1,6,2,1,2
1,6,2,1,2
1,6,1,1,1
1,6,7,1,2
1,6,1,1,1
1,6,7,1,2
1,6,7,1,2
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
3,7,5,3,5
9,6,5,4,5
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
7,7,8,2,3
13,6,8,3,3
19,5,8,4,3
26,4,8,1,3
32,3,8,2,3
38,2,8,3,3
-1,0,8,-1,3
44,1,8,4,3
7,7,6,2,1
35,6,6,0,1
40,5,6,0,1
-1,3,6,-1,1
-1,2,6,-1,1
-1,0,6,-1,1
-1,1,6,-1,1
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
7,7,9,2,4
13,6,9,3,4
19,5,9,4,4
24,4,9,4,4
30,3,9,0,4
38,2,9,3,4
-1,0,9,-1,4
44,1,9,4,4
3,7,3,3,3
3,6,3,3,3
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
15,7,6,0,1
20,6,6,0,1
26,5,6,1,1
32,4,6,2,1
40,3,6,0,1
45,2,6,0,1
-1,0,6,-1,1
50,1,6,0,1
14,7,10,4,5
22,6,10,2,5
28,5,10,3,5
49,4,10,4,5
-1,3,10,-1,5
-1,2,10,-1,5
-1,0,10,-1,5
-1,1,10,-1,5
8,6,3,3,3
8,7,5,3,5
8,7,8,3,3
8,6,5,3,5
8,6,8,3,3
8,5,8,3,3
8,5,3,3,3
8,5,8,3,3
8,5,3,3,3
49,7,5,4,5
2,6,5,2,5
8,5,5,3,5
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
46,7,2,1,2
10,6,2,0,2
16,5,2,1,2
22,4,2,2,2
28,3,2,3,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
4,7,10,4,5
18,6,10,3,5
-1,3,10,-1,5
-1,2,10,-1,5
-1,0,10,-1,5
-1,1,10,-1,5
-1,3,2,-1,2
-1,2,2,-1,2
-1,0,2,-1,2
-1,1,2,-1,2
8,7,5,3,5
14,6,5,4,5
19,5,5,4,5
27,4,5,2,5
33,3,5,3,5
39,2,5,4,5
-1,0,5,-1,5
44,1,5,4,5
3,7,5,3,5
9,6,5,4,5
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
12,7,5,2,5
18,6,5,3,5
24,5,5,4,5
29,4,5,4,5
37,3,5,2,5
43,2,5,3,5
-1,0,5,-1,5
49,1,5,4,5
12,7,7,2,2
20,6,7,0,2
26,5,7,1,2
32,4,7,2,2
37,3,7,2,2
45,2,7,0,2
-1,0,7,-1,2
50,1,7,0,2
9,7,9,4,4
-1,3,9,-1,4
-1,2,9,-1,4
-1,0,9,-1,4
-1,1,9,-1,4
14,7,4,4,4
19,6,4,4,4
27,5,4,2,4
33,4,4,3,4
39,3,4,4,4
44,2,4,4,4
-1,0,4,-1,4
-1,1,4,-1,4
4,7,4,4,4
4,7,4,4,4
4,6,9,4,4
4,6,4,4,4
4,5,5,4,5
50,7,6,0,1
6,6,6,1,1
31,5,6,1,1
40,4,6,0,1
-1,3,6,-1,1
-1,2,6,-1,1
-1,0,6,-1,1
-1,1,6,-1,1
4,6,4,4,4
4,5,5,4,5
12,5,4,2,4
12,7,3,2,3
8,7,4,3,4
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
12,7,2,2,2
12,6,3,2,3
12,6,4,2,4
22,7,5,2,5
28,6,5,3,5
34,5,5,4,5
39,4,5,4,5
47,3,5,2,5
3,2,5,3,5
-1,0,5,-1,5
-1,1,5,-1,5
12,5,2,2,2
12,5,7,2,2
12,6,2,2,2
8,7,8,3,3
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
12,5,2,2,2
9,7,9,4,4
9,6,9,4,4
-1,3,9,-1,4
-1,2,9,-1,4
-1,0,9,-1,4
-1,1,9,-1,4
12,5,2,2,2
8,7,5,3,5
12,6,5,2,5
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
12,6,8,2,3
12,5,7,2,2
12,5,7,2,2
12,5,7,2,2
28,7,3,3,3
33,6,3,3,3
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
26,7,7,1,2
31,6,7,1,2
37,5,7,2,2
43,4,7,3,2
50,3,7,0,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
42,7,3,2,3
48,6,3,3,3
6,5,3,1,3
-1,3,3,-1,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
46,7,7,1,2
-1,3,7,-1,2
-1,2,7,-1,2
-1,0,7,-1,2
-1,1,7,-1,2
50,7,1,0,1
5,6,1,0,1
10,5,1,0,1
16,4,1,1,1
25,3,1,0,1
30,2,1,0,1
-1,0,1,-1,1
-1,1,1,-1,1
50,7,6,0,1
5,6,6,0,1
11,5,6,1,1
17,4,6,2,1
25,3,6,0,1
30,2,6,0,1
-1,0,6,-1,1
-1,1,6,-1,1
26,7,3,1,3
31,6,3,1,3
37,5,3,2,3
43,4,3,3,3
50,3,3,0,3
12,2,3,2,3
-1,0,3,-1,3
-1,1,3,-1,3
47,7,8,2,3
11,6,8,1,3
17,5,8,2,3
23,4,8,3,3
28,3,8,3,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
41,6,7,1,2
41,5,1,1,1
13,7,3,3,3
19,6,3,4,3
26,5,3,1,3
32,4,3,2,3
38,3,3,3,3
-1,2,3,-1,3
-1,0,3,-1,3
-1,1,3,-1,3
41,5,6,1,1
41,5,1,1,1
41,5,1,1,1
4,7,4,4,4
23,6,4,3,4
34,5,4,4,4
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
49,7,10,4,5
49,6,10,4,5
49,5,10,4,5
-1,3,10,-1,5
-1,2,10,-1,5
-1,0,10,-1,5
-1,1,10,-1,5
18,5,8,3,3
10,7,7,0,2
16,6,7,1,2
21,5,7,1,2
27,4,7,2,2
35,3,7,0,2
41,2,7,1,2
-1,0,7,-1,2
46,1,7,1,2
8,7,8,3,3
16,6,8,1,3
21,5,8,1,3
27,4,8,2,3
33,3,8,3,3
41,2,8,1,3
-1,0,8,-1,3
46,1,8,1,3
14,7,4,4,4
4,6,4,4,4
-1,3,4,-1,4
-1,2,4,-1,4
-1,0,4,-1,4
-1,1,4,-1,4
50,7,8,0,3
37,6,8,2,3
-1,3,8,-1,3
-1,2,8,-1,3
-1,0,8,-1,3
-1,1,8,-1,3
3,7,5,3,5
3,6,5,3,5
9,5,5,4,5
-1,3,5,-1,5
-1,2,5,-1,5
-1,0,5,-1,5
-1,1,5,-1,5
