63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 

46 63 -1||| 46 62 -1||| 46 61 -1||| 46 60 -1||| 40 60 -1||| 34 58 -1||| 

46 63 -1||| 46 62 -1||| 46 62 -1||| 46 60 -1||| 40 60 -1||| 34 58 -1||| 

46 63 -1||| 46 62 -1||| 46 62 -1||| 46 61 -1||| 40 60 -1||| 34 58 -1||| 

46 63 -1||| 46 62 -1||| 46 62 -1||| 46 61 -1||| 40 60 -1||| 34 59 -1||| 

46 63 -1||| 46 63 -1||| 46 62 -1||| 46 61 -1||| 40 60 -1||| 34 59 -1||| 

46 32 -1||| 46 63 -1||| 46 62 -1||| 46 61 -1||| 40 60 -1||| 34 59 -1||| 

32 -1||| 32 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 

46 32 -1||| 46 32 -1||| 46 62 -1||| 46 61 -1||| 40 61 -1||| 34 59 -1||| 

46 32 -1||| 46 32 -1||| 46 63 -1||| 46 61 -1||| 40 61 -1||| 34 59 -1||| 

46 32 -1||| 46 32 -1||| 46 63 -1||| 46 61 -1||| 40 61 -1||| 34 60 -1||| 

46 32 -1||| 46 32 -1||| 46 63 -1||| 46 62 -1||| 40 61 -1||| 34 60 -1||| 

33 -1||| 32 -1||| 63 -1||| 62 -1||| 61 -1||| 60 -1||| 

46 33 -1||| 46 32 -1||| 46 63 -1||| 46 62 -1||| 40 62 -1||| 34 60 -1||| 

46 34 -1||| 46 32 -1||| 46 63 -1||| 46 62 -1||| 40 62 -1||| 34 60 -1||| 

46 34 -1||| 46 33 -1||| 46 63 -1||| 46 62 -1||| 40 62 -1||| 34 60 -1||| 

46 34 -1||| 46 33 -1||| 46 63 -1||| 46 62 -1||| 40 62 -1||| 34 61 -1||| 

46 34 -1||| 46 33 -1||| 46 63 -1||| 46 63 -1||| 40 62 -1||| 34 61 -1||| 

46 34 -1||| 46 33 -1||| 46 32 -1||| 46 63 -1||| 40 62 -1||| 34 61 -1||| 

46 34 -1||| 46 33 -1||| 46 32 -1||| 46 63 -1||| 40 62 -1||| 34 62 -1||| 

35 -1||| 33 -1||| 32 -1||| 63 -1||| 62 -1||| 62 -1||| 

46 35 -1||| 46 33 -1||| 46 32 -1||| 46 63 -1||| 40 63 -1||| 34 62 -1||| 

46 35 -1||| 46 33 -1||| 46 33 -1||| 46 63 -1||| 40 63 -1||| 34 62 -1||| 

46 35 -1||| 46 33 -1||| 46 33 -1||| 46 32 -1||| 40 63 -1||| 34 62 -1||| 

46 35 -1||| 46 34 -1||| 46 33 -1||| 46 32 -1||| 40 63 -1||| 34 62 -1||| 

46 35 -1||| 46 34 -1||| 46 33 -1||| 46 32 -1||| 40 63 -1||| 34 63 -1||| 

46 36 -1||| 46 34 -1||| 46 33 -1||| 46 32 -1||| 40 63 -1||| 34 63 -1||| 

46 36 -1||| 46 34 -1||| 46 33 -1||| 46 33 -1||| 40 63 -1||| 34 63 -1||| 

46 36 -1||| 46 35 -1||| 46 33 -1||| 46 33 -1||| 40 63 -1||| 34 63 -1||| 

36 -1||| 35 -1||| 34 -1||| 33 -1||| 63 -1||| 63 -1||| 

36 -1||| 35 -1||| 34 -1||| 33 -1||| 32 -1||| 63 -1||| 

46 36 -1||| 46 35 -1||| 46 34 -1||| 46 33 -1||| 40 33 -1||| 34 63 -1||| 

46 36 -1||| 46 36 -1||| 46 34 -1||| 46 33 -1||| 40 33 -1||| 34 63 -1||| 

