Type,Row,Column,Width,Channel_Width
-1,0,6,-1,1
-1,0,7,-1,2
-1,0,8,-1,3
1,7,3,1,3
1,7,4,1,4
1,7,5,1,5
1,7,6,1,1
1,7,7,1,2
1,7,8,1,3
2,7,10,2,5
2,7,3,2,3
2,7,4,2,4
2,7,5,2,5
2,7,7,2,2
2,7,8,2,3
3,7,10,3,5
3,7,4,3,4
3,7,5,3,5
3,7,8,3,3
3,7,9,3,4
3,7,10,3,5
4,7,4,4,4
4,7,5,4,5
4,7,9,4,4
4,7,10,4,5
4,7,4,4,4
4,7,5,4,5
4,6,4,4,4
5,6,5,0,5
5,7,10,0,5
5,7,1,0,1
5,7,6,0,1
5,7,2,0,2
5,7,6,0,1
6,7,1,1,1
6,7,2,1,2
6,7,6,1,1
6,7,7,1,2
6,7,8,1,3
6,7,1,1,1
6,7,2,1,2
7,7,6,2,1
7,6,3,2,3
7,6,7,2,2
7,7,7,2,2
7,7,8,2,3
7,6,8,2,3
8,6,10,3,5
8,6,3,3,3
8,6,4,3,4
8,6,5,3,5
8,6,8,3,3
8,6,10,3,5
9,6,4,4,4
9,6,5,4,5
9,6,9,4,4
9,6,10,4,5
9,6,4,4,4
9,6,5,4,5
9,6,9,4,4
10,6,6,0,1
10,6,10,0,5
10,6,1,0,1
10,6,6,0,1
10,6,7,0,2
11,6,2,1,2
11,6,6,1,1
11,6,8,1,3
11,6,1,1,1
11,6,2,1,2
11,6,6,1,1
12,6,7,2,2
12,6,8,2,3
12,6,2,2,2
12,6,4,2,4
12,6,5,2,5
12,6,7,2,2
12,6,8,2,3
13,5,3,3,3
13,6,10,3,5
13,5,4,3,4
13,5,5,3,5
13,5,8,3,3
13,5,10,3,5
14,5,4,4,4
14,5,5,4,5
14,5,10,4,5
14,5,4,4,4
14,5,5,4,5
14,5,9,4,4
14,5,10,4,5
15,5,4,0,4
15,6,1,0,1
15,6,6,0,1
15,5,6,0,1
15,5,7,0,2
15,5,1,0,1
16,5,3,1,3
16,5,6,1,1
16,5,7,1,2
16,5,8,1,3
16,5,2,1,2
17,5,6,2,1
17,5,8,2,3
17,5,2,2,2
17,5,5,2,5
17,5,7,2,2
17,5,8,2,3
18,5,9,3,4
18,5,10,3,5
18,5,2,3,2
18,5,4,3,4
18,5,5,3,5
18,5,8,3,3
19,4,4,4,4
19,4,5,4,5
19,5,10,4,5
19,4,10,4,5
19,4,4,4,4
19,4,5,4,5
20,4,10,0,5
20,4,4,0,4
20,5,1,0,1
20,5,6,0,1
20,5,1,0,1
20,5,6,0,1
20,5,7,0,2
21,4,3,1,3
21,4,6,1,1
21,4,7,1,2
21,4,8,1,3
21,4,1,1,1
21,4,3,1,3
22,4,6,2,1
22,4,7,2,2
22,4,8,2,3
22,4,2,2,2
22,4,5,2,5
22,4,8,2,3
23,4,9,3,4
23,4,10,3,5
23,4,4,3,4
23,4,5,3,5
23,4,8,3,3
23,4,9,3,4
23,4,10,3,5
24,4,4,4,4
24,4,5,4,5
24,3,4,4,4
24,4,10,4,5
24,3,5,4,5
25,3,10,0,5
25,4,6,0,1
25,4,1,0,1
25,4,2,0,2
25,4,6,0,1
25,4,7,0,2
25,4,1,0,1
26,4,2,1,2
26,4,6,1,1
26,4,7,1,2
26,4,8,1,3
26,3,3,1,3
26,3,6,1,1
27,3,7,2,2
27,3,8,2,3
27,3,3,2,3
27,3,4,2,4
27,3,5,2,5
27,3,7,2,2
27,3,8,2,3
28,3,10,3,5
28,3,4,3,4
28,3,5,3,5
28,3,8,3,3
28,3,9,3,4
28,3,10,3,5
29,3,4,4,4
29,3,5,4,5
29,3,9,4,4
29,3,10,4,5
29,3,4,4,4
29,3,5,4,5
29,3,10,4,5
30,2,4,0,4
30,3,1,0,1
30,3,6,0,1
30,3,2,0,2
30,3,6,0,1
30,3,1,0,1
31,3,2,1,2
31,3,6,1,1
31,3,7,1,2
31,3,8,1,3
31,3,1,1,1
31,3,2,1,2
32,3,6,2,1
32,3,7,2,2
32,3,8,2,3
32,2,3,2,3
32,2,5,2,5
32,2,7,2,2
32,2,8,2,3
33,2,10,3,5
33,2,3,3,3
33,2,4,3,4
33,2,5,3,5
33,2,8,3,3
33,2,10,3,5
34,2,4,4,4
34,2,5,4,5
34,2,8,4,3
34,2,9,4,4
34,2,10,4,5
34,2,4,4,4
34,2,5,4,5
35,2,9,0,4
35,2,10,0,5
35,2,6,0,1
35,2,1,0,1
35,2,6,0,1
35,2,7,0,2
36,2,2,1,2
36,2,6,1,1
36,2,1,1,1
36,2,2,1,2
36,2,6,1,1
37,2,7,2,2
37,2,8,2,3
37,2,1,2,1
37,2,2,2,2
37,2,4,2,4
37,2,5,2,5
37,2,7,2,2
38,2,8,3,3
38,2,10,3,5
38,1,3,3,3
38,1,4,3,4
38,1,5,3,5
38,1,8,3,3
39,1,10,4,5
39,1,4,4,4
39,1,5,4,5
39,1,10,4,5
39,1,4,4,4
